<<<<<<< HEAD
²£«~¥N¸¹,¼tµP,«~¦W,¸Ô²Ó,³æ»ù,Åé¿n,­«¶q,ºØÃş½s¸¹,ºØÃş
12-255,ÀuÀs,ACE´£©Ô¦ÌÄ¬§¨¤ß»æ°®,125g/²°,50,1382.975,125,L5,¹s­¹
12-256,LOTTE¼Ö¤Ñ,¤pºµ»æ°®-¶W­È¬ü¨ı²Õ¦X,37g²°,27,661.5,37,L5,¹s­¹
12-257,LOTTE¼Ö¤Ñ,¤pºµ»æ°g§A¥]-¥©§J¤O¤f¨ı,126g/²°,109,1795.5,126,L5,¹s­¹
12-258,²±­»¬Ã,¥©§J¤O¯Ü»æ,180g/²°,65,2205,180,L5,¹s­¹
12-259,¥i¤f,¤p¥Ê§b¯Ü²Ã¶p-¤û¥¤¤f¨ı,210g/²°,61,1963.5,210,L5,¹s­¹
12-260,¥i¤f,¤p¥Ê§b¯Ü²Ã¶p¯ó²ù¶q³c¥],210g/²°,61,1963.5,210,L5,¹s­¹
12-261,²±­»¬Ã,±²¤ß¶pºdªG¥©§J¤O,200¤½§J/²°,49,2150.5,200,L5,¹s­¹
12-262,¤Õ³¶,±²¤ß»æ-¯ó²ù¥¤©õ,189g/²°,59,2281.5,189,L5,¹s­¹
12-263,¸q¬ü,¥©§J¤O¨÷¶q³c²°-«n¬v­»¨¡,273g/²°,82,2762.5,273,L5,¹s­¹
12-264,¸q¬ü,¤û¥¤¨÷-¥©§J¤O,215g/²°,75,2178,215,L5,¹s­¹
12-265,¨Ä¨Ä,¤Õ³¶±²¤ß»æ-ªüÂÄ©i¥¤¯ù,63¤½§J*3¥] / ²°,59,2281.5,189,L5,¹s­¹
12-266,¸q¬ü,¯ó²ùÂA¨Å¨÷,215g/²°,78,2178,215,L5,¹s­¹
12-267,¸q¬ü,©@°ØÂA¨Å¨÷,215g/²°,79,2178,215,L5,¹s­¹
12-268,²±­»¬Ã,±²¤ß¶p¯ó²ù,200g/²°,59,2150.5,200,L5,¹s­¹
12-269,¸q¬ü,¥©§J¤O¨÷¶q³c²°-ªk¦¡¥¬¤B,273g/²°,79,2762.5,273,L5,¹s­¹
12-270,¨Ä¨Ä,¤Õ³¶±²¤ß»æ-¥©§J¤O,63g*3¥]/²°,56,2281.5,189,L5,¹s­¹
12-271,¨Ä¨Ä,¤Õ³¶±²¤ß»æ-Âû³J¥¬¤B,63g*3¥]/²°,56,2281.5,189,L5,¹s­¹
12-272,¨Ä¨Ä,¤Õ³¶±²¤ß»æ-©@°Ø,63g*3¥]/²°,56,2281.5,189,L5,¹s­¹
12-273,²±­»¬Ã,®³ÅK©@°Ø¯Ü±²,210g/²°,72,2793,210,L5,¹s­¹
12-274,³ß¦~¨Ó,­ì¨ı³J±²¤À¨É¥],128g/²°,42,1575,128,L5,¹s­¹
12-275,¸q¬ü,¥¤ªo³J¨÷,180g/²°,79,2530,180,L5,¹s­¹
12-276,³ß¦~¨Ó,ªÛ³Â³J±²¤À¨É¥],128g/²°,45,1575,128,L5,¹s­¹
12-277,²±­»¬Ã,¤é¦¡¿N¨÷ ªÛ³Â,148g/²°,57,2408.25,148,L5,¹s­¹
12-278,²±­»¬Ã,¤é¦¡¿N¨÷ µµµæ,140g/²°,57,2408.25,140,L5,¹s­¹
12-279,³ß¦~¨Ó,ªÛ³Â³J±²¸gÀÙ¥],192g/²°,69,2231.25,192,L5,¹s­¹
12-280,³ß¦~¨Ó,­ì¨ı³J±²¸gÀÙ¥],192g/²°,69,2231.25,192,L5,¹s­¹
12-281,¸q¬ü,­ì¨ı¤p³J¨÷,114¤½§J/²°,48,2231.25,114,L5,¹s­¹
12-282,¸q¬ü,ªÛ³Â¤p³J¨÷,114¤½§J/²°,48,2231.25,114,L5,¹s­¹
12-283,¸q¬ü,­ì¨ı³J¨÷,180g/²°,79,2530,180,L5,¹s­¹
12-284,¸q¬ü,ªÛ³Â³J¨÷,180g/²°,79,2530,180,L5,¹s­¹
12-285,²±­»¬Ã,ºdªG¥©§J¶p,240g/²°,69,2090,240,L5,¹s­¹
12-286,²±­»¬Ã,¤â»s·Î»æªá¥Í¤f¨ı,210g/²°,65,3006.25,210,L5,¹s­¹
12-287,¸q¬ü,·Î»æ¶q³c²°-ªÛ³Â,231g/²°,65,2762.5,231,L5,¹s­¹
12-288,²±­»¬Ã,¤â»s·Î»æ ºñÄ¦,210g/²°,65,3006.25,210,L5,¹s­¹
12-289,²±­»¬Ã,¤â»s·Î»æªÛ³Â,210g/²°,69,3006.25,210,L5,¹s­¹
12-290,¸q¬ü,ª¬¤¸·Î»æ-§ö¤¯,256g/²°,68,2762.5,256,L5,¹s­¹
12-291,¸q¬ü,ª¬¤¸·Î»æ,256g/²°,64,2762.5,256,L5,¹s­¹
12-292,¸q¬ü,·Î»æ¶q³c²°-§ö¤¯,240g/²°,65,2762.5,240,L5,¹s­¹
12-293,¸q¬ü,·Î»æ¶q³c²°-®ü­a,231g/²°,65,2762.5,231,L5,¹s­¹
12-294,¸q¬ü,·Î»æ¶q³c²°-¤û¥¤,231g/²°,65,2762.5,231,L5,¹s­¹
12-295,¸q¬ü,·Î»æ¶q³c²°-ªá¥Í,240g/²°,65,2762.5,240,L5,¹s­¹
12-296,°·±d¤é»x,Áú¦¡ªwµæ¯Ü»æ,192g/¥],49,1890,192,L5,¹s­¹
12-297,°·±d¤é»x,®ü­a¬v¨¡¯Ü»æ,192g/³U,49,1890,192,L5,¹s­¹
12-298,°·±d¤é»x,ªk¦¡»[¨ı¯Ü»æ,192g/³U,49,1890,192,L5,¹s­¹
12-299,«p¼İ,¤T¨¤³¥µæ»æ,192g/¥],49,1872,192,L5,¹s­¹
12-300,³ß¦~¨Ó,½­µæ»æ°®¸gÀÙ¥],150g/²°,59,3059,150,L5,¹s­¹
12-301,ºÖ¸q°a,¯ÂÂA¨Å»æ,200g/²°,79,2193.75,200,L5,¹s­¹
12-302,ºÖ¸q°a,¶ÂªÛ³Â¯Ü»æ,200g/²°,79,2193.75,200,L5,¹s­¹
12-303,ºÖ¸q°a,¬õÄTÁ¡»æ,200g/²°,79,2193.75,200,L5,¹s­¹
12-304,¸q¬ü,ÂA¨ÅÁ¡»æ,240g/²°,69,2400,240,L5,¹s­¹
12-305,¸q¬ü,¬õÄT¾i¥ÍÁ¡»æ,240g/²°,69,2400,240,L5,¹s­¹
12-306,³ß¦~¨Ó,ÂÅºñÄ¦Á¡»æ¶q³c²°,20g+-9%*15¥]/²°,79,2520,300,L5,¹s­¹
12-307,³ß¦~¨Ó,¬õÄTÁ¡»æ¶q³c²°,20g*15¥]/²°,79,2520,300,L5,¹s­¹
12-308,RITZ,ÄR´ş»æ°®®a®x¸¹,300g/²°,89,1732.5,300,L5,¹s­¹
12-309,©ô©ô,¤@©w­n¦Y-»´»¶,70g/²°,24,1237.5,70,L5,¹s­¹
12-310,©ô©ô,¤@©w­n¦Y-­ì¨ı,70g,25,1237.5,70,L5,¹s­¹
12-311,©ô©ô,¤p¤p¶pºî¦X,150g/¥],43,2584,150,L5,¹s­¹
12-312,¦³¥Ğ»s?,¨Å¥®¦ÌªG-­JÅÚ½³,60g/¥],45,1568,60,L5,¹s­¹
12-313,¦³¥Ğ»s?,½­µæ®a±Ú,60g/¥],49,1568,60,L5,¹s­¹
12-314,¦³¥Ğ»s?,¨Å¥®¦ÌªG-¤ôªG,60g/¥],49,1568,60,L5,¹s­¹
12-315,¦³¥Ğ»s?,¨Å¥®¦ÌªG,60g/¥],49,1568,60,L5,¹s­¹
=======
²£«~¥N¸¹,¼tµP,«~¦W,¸Ô²Ó,³æ»ù,Åé¿n,­«¶q,ºØÃş½s¸¹,ºØÃş
1-1,¥x¿},¨F©Ôªo,600ml/²~,43,1176,470,A1,ªo
1-2,¥x¿},¸ªªáªo,1000ml/²~,99,1664,406,A1,ªo
1-3,®õ¤s ,¯S¯Å¦n²z°·±d½Õ©Mªo,600ml,50,904.75,484,A1,ªo
1-4,®õ¤s ,°·±d¦n²z¥Ñ¸ªªáªo,1200ml,189,1785,260,A1,ªo
1-5,²Î¤@,ºöÄR°·±dªo,652ml/²~,199,881.25,357,A1,ªo
1-6,²Î¤@,¤j¨§¨F©Ôªo,760ml/²~,77,1147.5,349,A1,ªo
1-7,ºÖ¹Ø,¨F©Ôªo,500ml,59,1176,496,A1,ªo
1-8,ºû¸q,¾ñÆVªo,500ml,219,954,489,A1,ªo
1-9,ºû¸q,¾ñÆVªo,1000ml,139,1728,374,A1,ªo
2-1,¤¤¿³,Àn¥İ¦Ì,1.5kg/¥],135,1530,1500,B1,¦Ì
2-2,¤¤¿³,¶V¤§¦Ì,1.5kg/¥],135,1530,1500,B1,¦Ì
2-3,¤¤¿³,¥~¾P¤é¥»¤§¦Ì,1.5kg/¥],159,1530,1500,B1,¦Ì
2-4,¤¤¿³,¹Ø¥q¦Ì,1.5kg/¥],155,2070,1500,B1,¦Ì
2-5,¤¤¿³,¥~¾P¤é¥»¤§¦Ì,3kg/¥],155,2944,3000,B1,¦Ì
2-6,¤¤¿³,Ãö¤sâB³ù¦Ì,3kg/¥],189,2904,3000,B1,¦Ì
2-7,¤¤¿³,¬Ó®aâB³ù¦Ì,3kg/¥],165,2904,3000,B1,¦Ì
2-8,¤Ñ¥Í¦n¦Ì,¤Ñ¥Í¦n¦Ì,1.5kg/¥],99,1458,1500,B1,¦Ì
2-9,¤Ñ¥Í¦n¦Ì,ÂA¬¡¥Õ¦Ì,1.5kg/¥],129,1458,1500,B1,¦Ì
2-10,¤Ñ¥Í¦n¦Ì,¤ë¤§¹Ø¥q¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-11,¤Ñ¥Í¦n¦Ì,¤ë¤§¦n¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-12,¤Ñ¥Í¦n¦Ì,ªF³¡¦Ì²£,2.4kg/¥],149,2520,2400,B1,¦Ì
2-13,¤Ñ¥Í¦n¦Ì,ªáªF¤§¦Ì,2.4kg/¥],149,2520,2400,B1,¦Ì
2-14,¤Ñ¥Í¦n¦Ì,´I¨½¦Ì,2.4kg/¥],149,2520,2400,B1,¦Ì
2-15,¤Ñ¥Í¦n¦Ì,¹Ø¥q¦Ì,3kg/¥],179,2277,3000,B1,¦Ì
2-16,¤Ñ¥Í¦n¦Ì,¦n­¹ªº¨ı,3kg/¥],169,2277,3000,B1,¦Ì
2-17,¤Ñ¥Í¦n¦Ì,¤ë¤§¦Ì,3kg/¥],184,2277,3000,B1,¦Ì
2-18,¤Ñ¥Í¦n¦Ì,´I¨½5¸¹¦Ì,3kg/¥],155,2277,3000,B1,¦Ì
2-19,¤Ñ¥Í¦n¦Ì,´I¨½¤E¸¹¦Ì,3kg/¥],189,2277,3000,B1,¦Ì
2-20,¤T¦n,¬K¯Ñ¬ü¥Õ¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-21,¤T¦n,®L¯ĞÂA¥Õ¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-22,¤T¦n,¤T¦n¦Ì,2kg,119,1890,2000,B1,¦Ì
2-23,¤T¦n,¥x±ğ¤E¸¹¦Ì,2kg/¥],139,1800,2000,B1,¦Ì
2-24,¤T¦n,¯À´¸¦Ì,2.5kg/¥],169,2816,2500,B1,¦Ì
2-25,¤T¦n,¦®¦Ì,2.5kg/¥],199,2816,2500,B1,¦Ì
2-26,¤T¦n,¥xÆWªøÂA¦Ì,2.7kg/¥],189,2816,2700,B1,¦Ì
2-27,¤T¦n,15«×C¯q¥ş­»¦Ì,3kg/¥],219,2904,3000,B1,¦Ì
2-28,¤T¦n,¥xÆW¯S¯Å¦Ì,3kg/¥],169,2904,3000,B1,¦Ì
2-29,¤T¦n,ªøªÄ¹Ø¥q¦Ì,3kg/¥],145,2904,3000,B1,¦Ì
2-30,¤T¦n,¦b¦a¦n¦Ì,3kg/¥],189,2904,3000,B1,¦Ì
2-31,¤T¦n,¥x±ğ¤E¸¹¦Ì,3kg/¥],205,2904,3000,B1,¦Ì
2-32,¤T¦n,¥xÆW¹Ø¥q¦Ì,3kg/¥],159,2904,3000,B1,¦Ì
2-33,¤T¦n,¤ÑµM¦n¦Ì,3kg/¥],169,2904,3000,B1,¦Ì
2-34,¤T¦n,¹Ø¥q¦Ì,3kg/¥],145,2904,3000,B1,¦Ì
2-35,¬Ó®aâB³ù,âB³ù¥xªF¦Ì,1.5kg/¥],129,2070,1500,B1,¦Ì
2-36,¬Ó®aâB³ù,ªF¶m¥¿ªF¦n¦Ì,2.4kg/¥],149,2079,2400,B1,¦Ì
2-37,¬Ó®aâB³ù,ªF¶mÁa¨¦¦Ì,2.4kg/¥],149,2079,2400,B1,¦Ì
2-38,¬Ó®aâB³ù,¶Q±Úºë¦Ì,2.7kg/¥] CNS¤Tµ¥¦Ì,329,2772,2700,B1,¦Ì
2-39,´IÂ×,­»¦Ì,1.8kg/¥],159,1566,1800,B1,¦Ì
2-40,»È¤t,¦³¾÷¥Õ¦Ì,1.5kg/¥],219,1900,1500,B1,¦Ì
2-41,¥©°ü,·sÂA¦Ì,3kg/¥],169,2772,3000,B1,¦Ì
2-42,¥©°ü,ªøÂA¦Ì,3kg/¥],189,2772,3000,B1,¦Ì
2-43,¤T¦n,¤Q¤»½\¦Ì,1.2kg/¥],135,1155,1200,B1,¦Ì
2-44,¤T¦n,¬î¦¬§K®ûÁW¦Ì,1.5kg/¥],84,1620,1500,B1,¦Ì
2-45,¤T¦n,Àn¥ĞªøªÄÁW¦Ì,1.5kg/¥],152,1890,1500,B1,¦Ì
2-46,¤T¦n,Àn¥Ğ­FªŞÁW¦Ì,1.5kg/¥],165,1890,1500,B1,¦Ì
2-47,¤T¦n,¾i¥Í¤­½\¦Ì,1.8kg/¥],145,1890,1800,B1,¦Ì
2-48,¤T¦n,¥x±ğ¤E¸¹§K®ûÁW¦Ì,2kg/¥],129,2160,2000,B1,¦Ì
2-49,¤T¦n,ªøªÄÁW¦Ì,3kg/¥],169,2754,3000,B1,¦Ì
2-50,¤T¦n,­FªŞÁW¦Ì,3kg/¥],169,2754,3000,B1,¦Ì
2-51,¤Ñ¥Í¦n¦Ì,­FªŞÁW¦Ì,1.5kg/¥],99,2025,1500,B1,¦Ì
2-52,¤Ñ¥Í¦n¦Ì,ÂA¬¡ÁW¦Ì,1.5kg/¥],129,1458,1500,B1,¦Ì
2-53,¤Ñ¥Í¦n¦Ì,¤ë¤§ÁW¦Ì,1.8kg/¥],99,1596,1800,B1,¦Ì
2-54,¤Ñ¥Í¦n¦Ì,¾i¥ÍÁW¦Ì,2kg/¥],149,2250,2000,B1,¦Ì
2-55,Ãö¤s¹A·|,Ãö¤sÁW¦Ì,2kg/¥],165,2320,2000,B1,¦Ì
2-56,Ãö¤s¹A·|,Ãö¤s­FªŞ¦Ì,2kg/¥],170,1740,2000,B1,¦Ì
2-57,¤¤¿³,Áé·R¤@¥Í¾i¥Í¤Q½\¦Ì,1.2kg/¥],139,1408,1200,B1,¦Ì
2-58,¤¤¿³,Àn¥İÁW¦Ì,1.5kg/¥],145,1530,1500,B1,¦Ì
2-59,¤¤¿³,ÁW¦Ì,2kg/¥],99,2079,2000,B1,¦Ì
2-60,¤¤¿³,­FªŞ¦Ì,2kg,89,1783.5,2000,B1,¦Ì
2-61,»È¤t,¦³¾÷ÁW¦Ì,1.5kg/¥],223,1900,1500,B1,¦Ì
2-62,¬Ó®aâB³ù,ÁW¦Ì,1.5kg/¥],129,2070,1500,B1,¦Ì
2-63,¬Ó®aâB³ù,­FªŞÁW¦Ì,2.5kg/¥],128,1600,2500,B1,¦Ì
2-64,¬Ó®aâB³ù,ÁW¦Ì,2.5kg/¥],149,1600,2500,B1,¦Ì
3-1,¤Y²ø,ªQ¯Å½®ªo,500ml/²~,105,990,341,C1,Âæªo
3-2,¤Y²ø,·¥«~¶Â¨§½®ªo²M,300ml/²~,79,648,345,C1,Âæªo
3-3,¤Y²ø,·¥«~½®ªo»I,350g/²~,79,648,311,C1,Âæªo
3-4,¤j¦P,¤H¯Å½®ªo»I,420ml,53,990,192,C1,Âæªo
3-5,¤j¦P,¨ıÀM¯ÂÆCÂæªo,400ml,109,990,266,C1,Âæªo
3-6,¤j¦P,¬îµâªo»I,420ml,95,990,171,C1,Âæªo
3-7,¤j¦P,¬îµâ¶Â¨§ªo»I,400ml,95,990,288,C1,Âæªo
3-8,¤j¦P,¬îµâ¶Â¨§Âæªo,400ml,69,990,187,C1,Âæªo
3-9,¤j¦P,³ÓÂæ½®ªo»I,420ml,78,990,212,C1,Âæªo
3-10,¤j¦P,´ò©³Á¡ÆQ½®ªo,400ml,82,990,333,C1,Âæªo
3-11,¤j¦P,¶Â¤Ú®á¶Â¨§¯ÂÆCÂæªo,420ml,139,990,256,C1,Âæªo
3-12,¤j¦P,½®ªo»I,420ml,45,990,186,C1,Âæªo
3-13,§õÀA°O,¥Ì²¢ªoÅS,410g,79,954,410,C1,Âæªo
3-14,§õÀA°O,ºµ¿ßÄ®ªo,255g,59,559.625,255,C1,Âæªo
3-15,§õÀA°O,ºµ¿ßÄ®ªo,510g,87,918,510,C1,Âæªo
3-16,§õÀA°O,»]³½ªoÅS,410g,87,954,410,C1,Âæªo
3-17,§õÀA°O,ÂÂÉÜ¯S¯ÅÄ®ªo,255g,95,559.625,255,C1,Âæªo
3-18,§õÀA°O,ÂÂÉÜ¯S¯ÅÄ®ªo,510g,158,918,510,C1,Âæªo
3-19,¨ı¤ı,ª÷¨ı¤ıÂæªo,1000ml,50,1376,500,C1,Âæªo
3-20,¨ı¤ı,°ü¤ÍÂæªo,1000ml,32,1376,500,C1,Âæªo
3-21,¨ı¤ı,·¥«~ÂæªoÅS,750ml,57,1659.375,550,C1,Âæªo
3-22,¨ı¤ı,ÂæªoÅS,1000ml,60,1376,500,C1,Âæªo
3-23,ª÷Äõ,¥ÌÅSÂæªo,295ml/²~,34,756,120,C1,Âæªo
3-24,ª÷Äõ,¥ÌÅSÂæªo,500ml,59,1176,250,C1,Âæªo
3-25,ª÷Äõ,¹ª¦ŞÂæªo,590ml,72,1176,555,C1,Âæªo
3-26,ª÷Äõ,ºëÆC³y¥Ì¾Jªo»I,590ml,36,1176,349,C1,Âæªo
3-27,ª÷Äõ,ºëÆC³yªo»I,590ml,36,1176,364,C1,Âæªo
3-28,ª÷Äõ,Á¡ÆQÂæªo,590ml,55,1176,444,C1,Âæªo
3-29,ª÷Äõ,Âæªo®à¤W²~,148ml/¬Á¼ş,33,432,431,C1,Âæªo
3-30,²Î¤@,¥|©uÂæªo,870ml,49,1856,251,C1,Âæªo
3-31,²Î¤@,°ª¯ÂÆCÂæªo,870ml,67,1856,313,C1,Âæªo
3-32,²Î¤@,Àt¥Ò¸U¥Ì¾JÂæªo,1000ml/²~,67,1376,382,C1,Âæªo
3-33,²Î¤@,Àt¥Ò¸U®Æ«F©MÅS,370ml/²~,74,1127,523,C1,Âæªo
3-34,²Î¤@,Àt¥Ò¸U®Æ«F©MÅS (­»Û£©ø¥¬),370ml/²~,79,1127,591,C1,Âæªo
3-35,²Î¤@,Àt¥Ò¸UÂA¬üÅS,340ml/²~,72,980,559,C1,Âæªo
3-36,¸U®a­»,¤j§uÆCÁ¡ÆQÂæªo,300ml/²~,45,866.125,527,C1,Âæªo
3-37,¸U®a­»,¤j§uÆCÂæªo,300ml/²~,36,866.125,435,C1,Âæªo
3-38,¸U®a­»,¤j§uÆCÄ®ªo,1000ml,65,1878.5,493,C1,Âæªo
3-39,¸U®a­»,­»Û£¯ÀÄ®ªo,1000ml,64,1878.5,562,C1,Âæªo
3-40,¸U®a­»,­»Û£¯ÀÄ®ªo,300ml,31,756,471,C1,Âæªo
3-41,¸U®a­»,¯ÂÆC³yªo»I,360g/²~,35,1237.5,308,C1,Âæªo
3-42,¸U®a­»,³ı©³ªo,1000ml,58,1878.5,332,C1,Âæªo
4-1,¥xÆWµÒ°s,¬õ¼Ğ®Æ²z¦Ì°s,,25,1421,596,D1,°s
4-2,¥xÆWµÒ°s,¯S¯Å¬õ¼Ğ¦Ì°s,,38,792,400,D1,°s
4-3,¥xÆWµÒ°s,¬õ¼Ğ¦Ì°s¤ô,,47,1421,551,D1,°s
4-4,¥xÆWµÒ°s,¯S¯Å¬õ¼Ğ¯Â¦Ì°s,,45,792,417,D1,°s
4-5,¤jóç,¤Ñ¨ı¦Ì°s,,26,1372,285,D1,°s
4-6,¼sºÖ,¬ü»ñ®Æ²z¦Ì°s,,24,1127,528,D1,°s
4-7,,¬K«B®Æ²z¦Ì°s,,24,1127,350,D1,°s
5-1,¥x¿}, ¤G¸¹¬â¿} ,1kg/¥],36,504,1000,E1,¿}
5-2,¥x¿}, ¶L¸¹¬â¿} ,500g/¥],23,633.6,500,E1,¿}
6-1,¥xÆQ,°·±d´î¶uÆQ,300g/Åø,55,567,300,F1,ÆQ
6-2,¥xÆQ,¤ÑµM¶WÂAÆQ,300g/Åø,49,567,300,F1,ÆQ
6-3,¥xÆQ,¥xÆWºë½o®üÆQ,300g/Åø,49,567,300,F1,ÆQ
6-4,¥xÆQ,°·±d¬ü¨ıÆQ,300g/Åø,55,972,300,F1,ÆQ
6-5,¥xÆQ,­ì¨ı®Æ²zÆQ,500g/¥],55,528,500,F1,ÆQ
6-6,¥xÆQ,¥xÆWªºÆQ,600g/¥],27,648,600,F1,ÆQ
6-7,¥xÆQ,¾Mº{¤ÑµM®üÆQ,600g/¥],45,648,600,F1,ÆQ
6-8,¥xÆQ,¯S¯ÅºëÆQ,1000g/¥],19,884,1000,F1,ÆQ
6-9,¥xÆQ,°ª¯ÅºëÆQ,1000g,14,884,1000,F1,ÆQ
6-10,¥xÆQ,°·±d¬ü¨ıÆQ,600g/Åø,82,567,600,F1,ÆQ
6-11,¥xÆQ,°·±d´î¶uÆQ,600g/ Åø,81,972,600,F1,ÆQ
6-12,¤Ñ¼p,³ß°¨©Ô¶®¤s©¥ÆQ²Ó²É,400g/Åø,89,608,400,F1,ÆQ
6-13,¤Ñ¼p,¯Ã¦èÄõ²ÓºëÆQ,400g/Åø,59,608,400,F1,ÆQ
6-14,¤Ñ¼p,¯Ã¦èÄõ¦³¾÷¤ÑµM®üÆQ,300g/Åø,66,608,300,F1,ÆQ
6-15,Taiwan Yes,²`´ş¨ıÆQ,300g/Åø,65,607.5,300,F1,ÆQ
6-16,AJIYO,°ª¯Å©¥ÆQ,600g/¥],26,663,600,F1,ÆQ
6-17,AJIYO,¬ü¨ı©¥ÆQ,500g/³U,79,780,500,F1,ÆQ
6-18,¯Ã¦èÄõ,¤éÅÎ®üÆQ-¥[¸K,350g/Åø,79,576,350,F1,ÆQ
6-19,²Î¤@¥Í¾÷,¤ÑµM®üÆQ,300g/Åø,55,607.5,300,F1,ÆQ
6-20,®a½÷,³ß°¨©Ô¶®¤s¦³¾÷©¥ÆQ,100g/Åø,57,182.25,100,F1,ÆQ
7-1,¤é¥¿,¥xÆW¶ı¯ª½Õ©M¦Ì¯»,300g,30,2464,300,G1,ÄÑ­¹
7-2,¤é¥¿,¥xÆWÄÑÅu¯»µ·,110g,22,1120,110,G1,ÄÑ­¹
7-3,¤é¥¿,·s¦Ë½Õ©M¦Ì¯»,260g,39,3150,260,G1,ÄÑ­¹
7-4,ªêµP,ª¤¯»,350g,35,2898,350,G1,ÄÑ­¹
7-5,ª÷¤j,¦ò¯ªµP·s¦Ë½Õ©M¦Ì¯»,200g,39,1176,200,G1,ÄÑ­¹
7-6,´­­Z,³Ó­Z¶ı¯ª·s¦Ëª¤¯»,270g,28,1840,270,G1,ÄÑ­¹
7-7,·s¦Nµo,ª¤¯»,600g,49,4480,600,G1,ÄÑ­¹
7-8,ºÖµP,¯»µ·,420g,48,2100,420,G1,ÄÑ­¹
7-9,ºÖµP,¼e¯»,320g,50,2100,320,G1,ÄÑ­¹
7-10,Às¤f,¥V¯»,105g,23,1190,105,G1,ÄÑ­¹
7-11,Às¤f,ª¤¯»,250g,25,3105,250,G1,ÄÑ­¹
7-12,Às¤f,¯»µ·,200g,75,1540,200,G1,ÄÑ­¹
7-13,Às¤f,·s¦Ëª¤¯»,200g,21,2000,200,G1,ÄÑ­¹
7-14,Às¤f,·s¦Ëª¤¯»,400g,59,3240,400,G1,ÄÑ­¹
7-15,¥¿³{,¦b®a¦YÄÑ-©ÔÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-16,¥¿³{,¦b®a¦YÄÑ-²ÓÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-17,¥¿³{,¦b®a¦YÄÑ-ªoÄÑ,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-18,¥¿³{,¦b®a¦YÄÑ-¹ØÄÑ½u,200g/¥],15,215.25,200,G2,ÄÑ­¹
7-19,¥¿³{,¦b®a¦YÄÑ¥_¤è²ÓÄÑ,300g/¥],22,399,300,G2,ÄÑ­¹
7-20,¥¿³{,¦b®a¦YÄÑ¥_¨Ê©ÔÄÑ,300g/¥],22,399,300,G2,ÄÑ­¹
7-21,¤­¤ì,ÄÑ¤j®v-©M­·ÄÑ±ø,300g/¥],25,400,300,G2,ÄÑ­¹
7-22,¤­¤ì,ÄÑ¤j®v-Äõ¦{©ÔÄÑ,300g/¥],21,400,300,G2,ÄÑ­¹
7-23,¤­¤ì,¯QÀsÄÑ,300g/¥],25,440,300,G2,ÄÑ­¹
7-24,¤­¤ì,Àç¾iÄÑ±ø,300g,25,440,300,G2,ÄÑ­¹
7-25,¤­¤ì,ÃöªFÄÑ,375g/¥],35,440,375,G2,ÄÑ­¹
7-26,¤­¤ì,²ÓÃöªFÄÑ,375¤½§J/¥],36,440,375,G2,ÄÑ­¹
7-27,Às¤f,¥xÆWªoÄÑ,350g/¥],32,440,350,G2,ÄÑ­¹
7-28,²Î¤@,¦n«l¹D-¤ë¨£Âû³J­·¨ıÄÑ,300g/¥],23,440,300,G2,ÄÑ­¹
7-29,²Î¤@,¦n«l¹D-®a±`ÄÑ±ø,300g/¥],23,440,300,G2,ÄÑ­¹
7-30,²Î¤@,¦n«l¹D-¼eª©¤jÄÑ,300g/¥],23,440,300,G2,ÄÑ­¹
7-31,²Î¤@,¦n«l¹D-¤d¦Ğ©ÔÄÑ,320g/¥],32,440,320,G2,ÄÑ­¹
7-32,¤é¥»,Ægª[¯QÀsÄÑ,300g/¥],89,594,300,G2,ÄÑ­¹
7-33,¤é¥»,Ægª[¯S§O¤uªkÁ¡¤Á¯QÀsÄÑ,220g/¥],139,621,220,G2,ÄÑ­¹
8-1,3ÂI1¨è,¤é¤ë¼æ¥¤¯ù,20g*15¥]/³U,139,4155.3,300,H1,¨Rªw
8-2,3ÂI1¨è,¨RÃ·¶Â¿}¥¤¯ù,20g*15¥]/³U,123,4155.3,300,H1,¨Rªw
8-3,3ÂI1¨è,¸g¨å§BÀï¥¤¯ù,20g*15¥]/³U,109,4155.3,300,H1,¨Rªw
8-4,3ÂI1¨è,¸g¨åª´ºÀªáªG¥¤¯ù,20g*15¥]/³U,123,4155.3,300,H1,¨Rªw
8-5,3ÂI1¨è,¸g¨å¬´¿N¥¤¯ù,20g*15¥]/³U,139,4155.3,300,H1,¨Rªw
8-6,3ÂI1¨è,¸g¨å­ì¨ı¥¤¯ù,20g*15¥]/³U,107,4155.3,300,H1,¨Rªw
8-7,T¥@®a,­ì¨ı©Ù¯ù®³ÅK,18g*18¤J,169,3960,324,H1,¨Rªw
8-8,T¥@®a,¶Â¿}©Ù¯ù®³ÅK,18g*18¤J,78,3960,324,H1,¨Rªw
8-9,¥@®a,¥È¦Ì©Ù¯ù®³ÅK,18g*18¤J,169,3960,324,H1,¨Rªw
